SERVICE,GIT_URL,GITTAG,DEPLOYMENT_DATE
hrms,https://github.com/bntvc/hrms.git,v3.0.5,04-Jul-2024
hrms,https://github.com/bntvc/hrms.git,v1.0.58_AOA,19-Jul-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.31_DEV,19-Sep-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.114_dev,01-Oct-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.169_DEV,10-Oct-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.318_dev,13-Nov-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.340_dev,14-Nov-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.340_dev,14-Nov-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.388_DEMO,22-Nov-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.388_DEMO,22-Nov-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.393_DEMO,12-Dec-2024
hrms,https://github.com/bntvc/hrms.git,v4.0.395_DEMO,20-Dec-2024
